Model,CLUSTERS
6UCubeSat_Decision_Module_Decision_Module_2_Controller_Impl_1.aaxl2,AVIATION
6UCubeSat_Rate_Limited_PID_Controller_Rate_Limited_PID_Controller_Impl_1.aaxl2,AVIATION
6UCubeSat_RTA_Controller_RTA_Controller_Impl_1.aaxl2,AVIATION
6UCubeSat_Unverified_Controller_PID_controller_not_rate_limited_package_Impl_1.aaxl2,AVIATION
6UCubeSat_Verified_Controller_Rate_Limited_PID_Controller_Impl_1.aaxl2,AVIATION
890-isolette_KSU_Isolette_isolette_dual_sensor_1.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_10.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_11.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_2.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_3.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_4.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_5.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_6.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_7.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_8.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_dual_sensor_9.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_single_sensor_1.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_single_sensor_2.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_single_sensor_3.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_single_sensor_4.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_isolette_single_sensor_5.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_operator_interface_impl_1.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_operator_interface_impl_2.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_1.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_2.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_3.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_4.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_5.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_6.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_7.aaxl2,SMART_BUILDING
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_8.aaxl2,SMART_BUILDING
AADL_Architecture_MarsPathfinder_PT_system_simple_1.aaxl2,DRONES
AADL_FEES_Board_STM32_STM32L476_Discovery_impl_1.aaxl2,SMART_DEVICE
AADL_FEES_FEES_FEES_impl_1.aaxl2,AUTOMOTIVE
aadl_ils_project_ils_ils_impl_1.aaxl2,AVIATION
aadl_model_Bankomat_AtmSystem_with_devices_1.aaxl2,SMART_DEVICE
AADL_RASPBERRY_smacz_HumanActivityMonitoringSystem_impl_1.aaxl2,SMART_DEVICE
AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1.aaxl2,SMART_BUILDING
AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,SMART_BUILDING
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,SMART_BUILDING
aadl-book_use_myproperties_integration_with_units_1.aaxl2,SMART_DEVICE
aadl-book_use_myproperties_integration_without_units_1.aaxl2,SMART_DEVICE
aadl-bottle-filling_BottleFilling_BottleFillingSystem_impl_1.aaxl2,SMART_DEVICE
aadl-car-example_CarSystem_MyCar_impl_1.aaxl2,AUTOMOTIVE
aadl-car-example_HardwarePlatform_cc_mcu_dual_1.aaxl2,AUTOMOTIVE
aadl-car-example_HardwarePlatform_cc_mcu_impl_1.aaxl2,AUTOMOTIVE
aadl-car-example_HardwarePlatform_cc_mcu_single_1.aaxl2,AUTOMOTIVE
aadl-car-example_SoftwareApps_CruiseControl_impl_1.aaxl2,AUTOMOTIVE
AADL-Designer_CruiseControl_Cruisecontrol_Generic_1.aaxl2,AUTOMOTIVE
AADL-Designer_CruiseControl_Cruisecontrollaws_Model_1.aaxl2,AUTOMOTIVE
AADL-Designer_CruiseControl_Hci_Model_1.aaxl2,AUTOMOTIVE
AADL-Designer_demo_subsystem_subsystem_test_impl_1.aaxl2,AUTOMOTIVE
aadl-examples_FC_FlightController_Impl_1.aaxl2,AVIATION
aadl-examples_FC_FlightController_Impl_2.aaxl2,AVIATION
aadl-examples_GS_GroundStation_Impl_1.aaxl2,DRONES
aadl-examples_GS_GroundStation_Impl_2.aaxl2,DRONES
aadl-examples_Hardware_PCB_clock_1.aaxl2,DRONES
aadl-examples_Hardware_PCB_i_1.aaxl2,DRONES
aadl-examples_Hardware_PCB_mp_1.aaxl2,DRONES
aadl-examples_Hardware_PCB_power_1.aaxl2,DRONES
aadl-examples_Human_Machine_Interface_HMI_i_1.aaxl2,DRONES
aadl-examples_iPCA_Context_Open_PCA_Context_i_1.aaxl2,DRONES
aadl-examples_iPCA_Context_Other_Medical_Device_imp_1.aaxl2,DRONES
aadl-examples_iPCA_Control_Panel_Control_Panel_i_1.aaxl2,DRONES
aadl-examples_iPCA_Hardware_PCB_iPCA_i_1.aaxl2,DRONES
aadl-examples_iPCA_Operation_iPCA_Operation_i_1.aaxl2,DRONES
aadl-examples_iPCA_Peripherals_iPCA_Fluid_i_1.aaxl2,DRONES
aadl-examples_iPCA_Power_Power_i_1.aaxl2,DRONES
aadl-examples_MC_MissionComputer_Impl_1.aaxl2,DRONES
aadl-examples_MC_MissionComputer_Impl_2.aaxl2,DRONES
aadl-examples_MC_MissionComputer_Impl_3.aaxl2,DRONES
aadl-examples_Operation_Operation_i_1.aaxl2,DRONES
aadl-examples_Peripherals_Sensors_Actuators_i_1.aaxl2,DRONES
aadl-examples_Security_Security_System_cp_1.aaxl2,DRONES
aadl-examples_Security_Security_System_i_1.aaxl2,DRONES
aadl-examples_Separation_VP_sel4_1.aaxl2,DRONES
aadl-examples_Separation_VP_xen_1.aaxl2,DRONES
aadl-examples_SW_SW_Impl_1.aaxl2,DRONES
aadl-examples_UAS_UAS_Impl_1.aaxl2,DRONES
aadl-examples_UAV_UAV_Impl_1.aaxl2,DRONES
aadl-gumbo_TempControlSoftwareSystem_TempControlSoftwareSystem_i_1.aaxl2,SMART_BUILDING
aadl-gumbo_TempControlSoftwareSystem_TempControlSoftwareSystem_isoControl_1.aaxl2,SMART_BUILDING
aadl-m2dl-2019_gears_system_digital_part_dp1_1.aaxl2,AVIATION
aadl-map-apps_PCA_Shutoff_PCA_Shutoff_System_imp_1.aaxl2,SMART_DEVICE
aadl-map-apps_PulseOx_Forwarding_System_PulseOx_Forwarding_System_imp_1.aaxl2,SMART_DEVICE
AADL-MDSD_myModel_simpleSystem_impl_1.aaxl2,AUTOMOTIVE
AADL-MDSD_sr_system_srs_impl_1.aaxl2,AUTOMOTIVE
aadl-models_emtest_Dependable_System_Notional_1.aaxl2,AVIATION
aadl-models_emtest_Subsystem_Notional_1.aaxl2,AVIATION
aadl-models_peterexample_main_i_1.aaxl2,AVIATION
aadl-models_test_foo_bar_1.aaxl2,AVIATION
aadl-networking-refmodel_AFDX_PreSynthesis_AFDX_PreSynthesis_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_AFDX_PreSynthesis_HW_Platform_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_AFDX_PreSynthesis_Module_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_Basic_AFDX_Model_Basic_AFDX_Model_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_Basic_AFDX_Model_HW_Platform_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_Basic_AFDX_Model_Module_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_Software_Layer_Software_Layer_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_TTE_Model_HW_Platform_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_TTE_Model_Module_i_1.aaxl2,SMART_DEVICE
aadl-networking-refmodel_TTE_Model_TTE_Model_i_1.aaxl2,SMART_DEVICE
aadl-qa_accessconn_gpses_i_1.aaxl2,SMART_BUILDING
aadl-qa_accessconn_top_i_1.aaxl2,SMART_BUILDING
aadl-qa_bug155Logi_SysLog_Imp_1.aaxl2,AUTOMOTIVE
aadl-qa_bug155Plat_SysComp_Imp_1.aaxl2,AUTOMOTIVE
aadl-qa_bug155Plat_SysPlat_Imp_1.aaxl2,AUTOMOTIVE
aadl-qa_bug155PlatSys_Foo_Imp_1.aaxl2,AUTOMOTIVE
aadl-qa_CarSystem_carRT_impl_1.aaxl2,AUTOMOTIVE
aadl-qa_connectioninheritance_s_i_1.aaxl2,AUTOMOTIVE
aadl-qa_connectioninheritance_se_i_1.aaxl2,AUTOMOTIVE
aadl-qa_connectioninheritance_top_i_1.aaxl2,AUTOMOTIVE
aadl-qa_connectioninheritance_top_iext_1.aaxl2,AUTOMOTIVE
aadl-qa_connectiontiming_s_i_1.aaxl2,AUTOMOTIVE
aadl-qa_connname_pth_i_1.aaxl2,AUTOMOTIVE
aadl-qa_connname_src_i_1.aaxl2,AUTOMOTIVE
aadl-qa_connname_top_basic_1.aaxl2,AUTOMOTIVE
aadl-qa_emv2_issue8_bus_subsystem_i_1.aaxl2,SMART_BUILDING
aadl-qa_emv2_issue8_main_i_1.aaxl2,SMART_BUILDING
aadl-qa_etef_top_i_1.aaxl2,AUTOMOTIVE
aadl-qa_example_root2_impl_1.aaxl2,AUTOMOTIVE
aadl-qa_example2_root_impl_1.aaxl2,AUTOMOTIVE
aadl-qa_flowspeclat_src_i_1.aaxl2,SMART_BUILDING
aadl-qa_flowspeclat_top_basic_1.aaxl2,AUTOMOTIVE
aadl-qa_issue158_s_i_1.aaxl2,SMART_BUILDING
aadl-qa_issue164_s_i_1.aaxl2,SMART_BUILDING
aadl-qa_issue168_App1_impl_1.aaxl2,SMART_BUILDING
aadl-qa_issue168_App2_impl_1.aaxl2,SMART_BUILDING
aadl-qa_issue168_SWsystem_impl_1.aaxl2,SMART_BUILDING
aadl-qa_issue168_topSystem_impl_1.aaxl2,SMART_BUILDING
aadl-qa_issue171_s_i_1.aaxl2,SMART_BUILDING
aadl-qa_issue176_SysParent_Imp_1.aaxl2,SMART_BUILDING
aadl-qa_issue177_SysInverse2ofPFG_Imp_1.aaxl2,SMART_BUILDING
aadl-qa_issue182_test1_Test_impl_1.aaxl2,AUTOMOTIVE
